TRICODE,IATA CODE,CALLSIGN,COMMON NAME,COMPANY/CORPORATE NAME,COUNTRY
RPR,-,AEROPROFESIONAL,ADMINISTRACION PROFESIONAL DE AERONAVES,"ADMINISTRACION PROFESIONAL DE AERONAVES, S.A. DE C.V.",MEXICO
SGO,-,SPEEDGOAT,ADMIRAL BEVERAGE,ADMIRAL BEVERAGE CORPORATION,UNITED STATES OF AMERICA
ADR,-,ADRIA,ADRIA AIRWAYS,ADRIA AIRWAYS,SLOVENIA
DRO,-,ADRO SERVICIOS,ADRO JET CHARTER,"ADRO SERVICIOS AEREOS, S.A. DE C.V.",MEXICO
AAX,-,ADVANCE AVIATION,ADVANCE AVIATION,"ADVANCE AVIATION CO., LTD",THAILAND
AJV,-,LEE JET,ADVANCE AVIATION JET,"ADVANCE AVIATION JET CO., LTD",THAILAND
XTJ,-,-,ADVANCE AVIATION SERVICES,"ADVANCE AVIATION SERVICES, INC. (MIAMI SPRINGS, FL)",UNITED STATES OF AMERICA
ADD,-,-,ADVANCED AIR,"ADVANCED AIR CO., LTD",JAPAN
WSN,AN,WINGSPAN,ADVANCED AIR,"ADVANCED AIR, LLC",UNITED STATES OF AMERICA
ADV,-,ADVANCED,ADVANCED FLIGHT TRAINING,ADVANCED FLIGHT TRAINING LTD,UNITED KINGDOM
DVN,-,ADVENTIA,ADVENTIA,ADVENTIA,SPAIN
BKM,-,CARDINAL,ADVISORS AVIATION,"ADVISORS AVIATION (ST. LOUIS, MO)",UNITED STATES OF AMERICA
EBS,-,-,AEG AVIATION SERVICES,"AEG AVIATION SERVICES (STATELINE, NV)",UNITED STATES OF AMERICA
AEE,A3,AEGEAN,AEGEAN AIRLINES,AEGEAN AIRLINES S.A.,GREECE
AEW,-,SEAGULL,AEGEAN EXECUTIVE,AEGEAN EXECUTIVE S.A.,GREECE
AEL,-,RHOMBUS,AEGLE AVIATION,AEGLE AVIATION (ARUBA) N.V.,NETHERLANDS
AAZ,-,AEOLUS,AEOLUS AIR,AEOLUS AIR LIMITED,GAMBIA
EIN,EI,SHAMROCK,AER LINGUS,AER LINGUS TEORANTA,IRELAND
EUK,EG,GREEN FLIGHT,AER LINGUS UK,AER LINGUS (UK) LIMITED,UNITED KINGDOM
EBV,-,-,AERBRAVA,"AERBRAVA, S.C.P.",SPAIN
ACL,-,ADMIRE,AERCARIBE,"AERCARIBE, S.A.",COLOMBIA
AEF,-,-,AEREA,AEREA,SPAIN
ADG,-,AEREA TRAINING,AEREA FLYING TRAINING ORGANIZATION,"AEREA FLYING TRAINING ORGANIZATION, S.A.",SPAIN
CBV,-,CABOAEREO,AEREO CABO,"AEREO CABO, S.A. DE C.V.",MEXICO
DRD,-,AEREO DORADO,AEREO DORADO,"AEREO DORADO, S.A. DE C.V.",MEXICO
GEE,-,GEMEX,AEREO GE,"AEREO GE, S.A. DE C.V.",MEXICO
