CALLSIGN,SSR INDICATION,ICAO 3LD,UNIT OR OPERATOR,FORCE,ACFT TYPE,COUNTRY,SOURCE REMARK,OPERATIONAL NOTE,LOCATION NOTE2,ETYMOLOGY NOTE,MISCELLANEOUS NOTE,ASSOCIATED FIXED CALLSIGN,APPROVED CONTRACTION,TAXONOMY,SENSITIVITY,SOURCE,,,,,,,,,,,,,,,,,
AIRWOLF,ARWLF,-,28 SQUADRON,ROYAL AIR FORCE,H47,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
AIRWOLF,AIRWOLF,-,28 SQUADRON,ROYAL AIR FORCE,H47,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
AIRWOLF,AWO,-,28 SQUADRON,ROYAL AIR FORCE,H47,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
AIRWORK,AWK,-,AIRWORK SERVICE TRAINING,DEFENSE EQUIPMENT & SUPPORT,UNKN,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
AKITA,AKITA,-,492ND FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F15,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ALBERT,ALBERT,-,AIR MOBILITY FORCE,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ALBERT,ALBERT,-,AIR MOBILITY FORCE,ROYAL AIR FORCE,C17,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ALBERT,ALBRT,-,AIR MOBILITY FORCE,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ALBERT,ALBRT,-,AIR MOBILITY FORCE,ROYAL AIR FORCE,C17,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ALBUM,ALBUM,-,AIR AND SPACE WARFARE CENTRE,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ALIEN,ALIEN,-,28 SQUADRON,ROYAL AIR FORCE,H47,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ALIEN,ALIN,-,28 SQUADRON,ROYAL AIR FORCE,H47,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ALKYD,ALKYD,-,67TH SPECIAL OPERATIONS SQUADRON,UNITED STATES AIR FORCE EUROPE,C30J,UNITED KINGDOM,,,MILDENHALL,,,U,U,1,,,,,,,,,,,,,,,,,,,
ALLEY CAT,ALLYCAT,-,RAF BENSON,ROYAL AIR FORCE,AS32,UNITED KINGDOM,,,STATION CALLSIGN,,,U,N,1,,,,,,,,,,,,,,,,,,,
ALLEY CAT,ALYCT,-,RAF BENSON,ROYAL AIR FORCE,AS32,UNITED KINGDOM,,,STATION CALLSIGN,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ALPINE,N/A,N/A,MOUNTAIN RESCUE TEAM,ROYAL AIR FORCE,N/A,UNITED KINGDOM,,,MANAGEMENT RADIO,,,U,N/A,2,,JSP506,,,,,,,,,,,,,,,,,
AMBER,AMBER,-,48TH FIGHTER WING,UNITED STATES AIR FORCE EUROPE,F15,UNITED KINGDOM,,,LAKENHEATH,,,U,N,1,,,,,,,,,,,,,,,,,,,
AMBER,AMBER,-,JOINT SERVICES AIR TASKING ORGANISATION,DEFENCE EQUIPMENT & SUPPORT,FA20,UNITED KINGDOM,,,OPERATIONAL READINESS TRAINING FLEET,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
AMBUSH,AMBSH,-,230 SQUADRON,ROYAL AIR FORCE,EC45,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ANARCHY,ANRCY,-,29 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,DISPLAY CALL SIGN,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
