CALLSIGN,SSR INDICATION,ICAO 3LD,UNIT OR OPERATOR,FORCE,ACFT TYPE,COUNTRY,SOURCE REMARK,OPERATIONAL NOTE,LOCATION NOTE2,ETYMOLOGY NOTE,MISCELLANEOUS NOTE,ASSOCIATED FIXED CALLSIGN,APPROVED CONTRACTION,TAXONOMY,SENSITIVITY,SOURCE,,,,,,,,,,,,,,,,,
DIRTY,DIRTY,-,492ND FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F15,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DIVINE,DIVNE,-,JOINT FORCE AIR COMPONENT HEADQUARTERS,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,RESERVE WORD CALLSIGN POOL,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DOGFISH,DGFSH,-,AIR MOBILITY FORCE,ROYAL AIR FORCE,A332,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ROUGHCUT,UNKN,-,HMS DIAMOND,ROYAL NAVY,EH10,UNITED KINGDOM,CALLSIGN FOR HELICOPTERS EMBARKED ON THE SHIP. OPERATING UNIT MAY CHANGE.,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
JENNY,UNKN,-,HMS RICHMOND,ROYAL NAVY,EH10,UNITED KINGDOM,CALLSIGN FOR HELICOPTERS EMBARKED ON THE SHIP. OPERATING UNIT MAY CHANGE.,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
GATEKEEPER,UNKN,-,HMS WESTMINSTER,ROYAL NAVY,EH10,UNITED KINGDOM,CALLSIGN FOR HELICOPTERS EMBARKED ON THE SHIP. OPERATING UNIT MAY CHANGE.,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
DOGFISH,DGFSH,-,AIR MOBILITY FORCE,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DOGFISH,DGFSH,-,AIR MOBILITY FORCE,ROYAL AIR FORCE,C17,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DOGMA,DOGMA,-,AIR AND SPACE WARFARE CENTRE,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DOLPHIN,DLPHN,-,820 NAVAL AIR SQUADRON,ROYAL NAVY,EH10,UNITED KINGDOM,,AIRBORNE SURVEILLANCE & CONTROL,,,,U,N,1,,,,,,,,,,,,,,,,,,,
DOLPHIN,DOL,-,820 NAVAL AIR SQUADRON,ROYAL NAVY,EH10,UNITED KINGDOM,,AIRBORNE SURVEILLANCE & CONTROL,,,,U,N,1,,,,,,,,,,,,,,,,,,,
DOLPHIN,DOLPHI,-,820 NAVAL AIR SQUADRON,ROYAL NAVY,EH10,UNITED KINGDOM,,AIRBORNE SURVEILLANCE & CONTROL,,,,U,N,1,,,,,,,,,,,,,,,,,,,
DOLPHIN,DOLPHN,-,820 NAVAL AIR SQUADRON,ROYAL NAVY,EH10,UNITED KINGDOM,,AIRBORNE SURVEILLANCE & CONTROL,,,,U,N,1,,,,,,,,,,,,,,,,,,,
DOLPHIN,DLPHN,-,820 NAVAL AIR SQUADRON,ROYAL NAVY,EH10,UNITED KINGDOM,,AIRBORNE SURVEILLANCE & CONTROL,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DOMINO,DMINO,-,HEADQUARTERS AIR COMMAND (RESERVE WORD CALLSIGN POOL),ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,RESERVED FOR  2 GROUP EXERCISES.,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DOOM,DOOM,-,207 SQUADRON,ROYAL AIR FORCE,VF35,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DOZER,DOZER,-,493RD FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F35,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DRAGNET,DRGNT,-,51 SQUADRON,ROYAL AIR FORCE,R135,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DRAGNET,DRGNET,-,51 SQUADRON,ROYAL AIR FORCE,R135,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
DRAGONFLY,DGFLY,-,845 NAVAL AIR SQUADRON,ROYAL NAVY,EH10,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DRAIG,DRAIG,-,UNIVERSITY OF WALES AIR SQUADRON,ROYAL AIR FORCE,G115,UNITED KINGDOM,FORMATION,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DRAKEN,DRAKN,-,JOINT SERVICES AIR TASKING ORGANISATION,DEFENCE EQUIPMENT & SUPPORT,FA20,UNITED KINGDOM,,OPERATIONAL READINESS TRAINING FLEET,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DRAWBRIDGE,DRBDG,-,17 SQUADRON,ROYAL AIR FORCE,VF35,UNITED KINGDOM,,,,,"OPERATIONAL EVALUATION UNIT, EDWARDS AFB",U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DREAD,DREAD,-,6 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DREADNOUGHT,DRD,-,30 SQUADRON,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
DREADNOUGHT,DREAD,-,30 SQUADRON,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
DREADNOUGHT,DNGHT,-,30 SQUADRON,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DRUID,DRUID,-,UNIVERSITY OF WALES AIR SQUADRON,ROYAL AIR FORCE,G115,UNITED KINGDOM,FORMATION,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DRUMSTICK,DMSTK,-,56 SQUADRON,ROYAL AIR FORCE,B350,UNITED KINGDOM,,,,,OPERATIONAL EVALUATION UNIT FOR UK ISTAR AIRCRAFT,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DRUMSTICK,DMSTK,-,56 SQUADRON,ROYAL AIR FORCE,P8,UNITED KINGDOM,,,,,OPERATIONAL EVALUATION UNIT FOR UK ISTAR AIRCRAFT,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DRUMSTICK,DMSTK,-,56 SQUADRON,ROYAL AIR FORCE,R135,UNITED KINGDOM,,,,,OPERATIONAL EVALUATION UNIT FOR UK ISTAR AIRCRAFT,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DUDE,DUDE,-,48TH FIGHTER WING,UNITED STATES AIR FORCE EUROPE,F15,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DUKE,DUKE,-,HAWKER HUNTER AVIATION,UK GOVERNMENT CONTRACTOR,HUNT,UNITED KINGDOM,,,,"REFERENCE TO NEVILLE DUKE, CHIEF TEST PILOT AT HAWKER",,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
DUSTER,DUSTR,-,492ND FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F15,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
EAGLE,EAGLE,-,48TH FIGHTER WING,UNITED STATES AIR FORCE EUROPE,F15,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
EARMUFF,ERMUF,-,AIR AND SPACE WARFARE CENTRE,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ECHO,E,-,NO. 1 FLYING TRAINING SCHOOL,ROYAL AIR FORCE,EC35,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ECHO,E,-,NO. 1 FLYING TRAINING SCHOOL,ROYAL AIR FORCE,EC45,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ECLIPSE,ECLPS,-,673 SQUADRON,ARMY AIR CORPS,H64,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
EDIT,EDIT,-,HEADQUARTERS AIR COMMAND (RESERVE WORD CALLSIGN POOL),ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,RESERVED FOR  2 GROUP EXERCISES.,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ELVIS,ELVIS,-,206 SQUADRON,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
EMU,EMU,-,EAST MIDLANDS UNIVERSITIES AIR SQUADRON,ROYAL AIR FORCE,G115,UNITED KINGDOM,FORMATION,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ENDPLAY,ENPLY,-,JOINT FORCE AIR COMPONENT HEADQUARTERS,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,RESERVE WORD CALLSIGN POOL,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ENG,ENG,-,45 SQUADRON,ROYAL AIR FORCE,E50P,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ENID,ENID,-,ROYAL AIR FORCE AEROBATIC TEAM,ROYAL AIR FORCE,HAWK,UNITED KINGDOM,,5 AIRCRAFT FORMATION,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
EPSOM,EPSOM,-,658 SQUADRON,ARMY AIR CORPS,AS32,UNITED KINGDOM,MOD A BLOCK,,,,"DUE TO THE NATURE OF THESE FLIGHTS, SSR INDICATION IS RARELY DISPLAYED",U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ESSEX,ESSEX,-,352ND SPECIAL OPERATIONS WING,UNITED STATES AIR FORCE EUROPE,C130,UNITED KINGDOM,,,MILDENHALL,,,U,U,1,,,,,,,,,,,,,,,,,,,
ESTER,ESTER,-,AIR AND SPACE WARFARE CENTRE,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
EVAL,EVAL,-,206 SQUADRON,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
EXCALIBUR,EXCAL,-,824 NAVAL AIR SQUADRON,ROYAL NAVY,EH10,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
EXCALIBUR,EXCBR,-,824 NAVAL AIR SQUADRON,ROYAL NAVY,EH10,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
EXCALIBUR,EXCAL,-,MINISTRY OF DEFENCE,ROYAL NAVY,VARIOUS,UNITED KINGDOM,"WHEN JDLMOS DEPLOYABLE DATA LINK MANAGEMENT CELL IS DEPLOYED AND OPERATING THE DEPLOYABLE MTMS PACKAGE, THEY WILL USE EXCALIBUR AS THEIR WORD CALLSIGN.",,,,,U,N,1,,,,,,,,,,,,,,,,,,,
EXCALIBUR,EXCBR,-,MINISTRY OF DEFENCE,ROYAL NAVY,VARIOUS,UNITED KINGDOM,"WHEN JDLMOS DEPLOYABLE DATA LINK MANAGEMENT CELL IS DEPLOYED AND OPERATING THE DEPLOYABLE MTMS PACKAGE, THEY WILL USE EXCALIBUR AS THEIR WORD CALLSIGN.",,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
EXILE,EXILE,-,493RD FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F35,UNITED KINGDOM,,,LAKENHEATH,,,U,N,1,,,,,,,,,,,,,,,,,,,
EXIT,EXIT,-,67TH SPECIAL OPERATIONS SQUADRON,UNITED STATES AIR FORCE EUROPE,C30J,UNITED KINGDOM,,,MILDENHALL,,REFUELING,U,U,1,,,,,,,,,,,,,,,,,,,
EXPERT,EXPRT,-,HEADQUARTERS AIR COMMAND (RESERVE WORD CALLSIGN POOL),ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,RESERVED FOR  2 GROUP EXERCISES.,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FAGIN,FAGIN,-,216 SQUADRON,ROYAL AIR FORCE,N/A,UNITED KINGDOM,,OPERATIONAL DELIVERY SQUADRON FOR AN AUTONOMOUS COLLABORATIVE PLATFORMS CAPABILITY,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FAIL,FAIL,-,67TH SPECIAL OPERATIONS SQUADRON,UNITED STATES AIR FORCE EUROPE,C30J,UNITED KINGDOM,,,MILDENHALL,,,U,U,1,,,,,,,,,,,,,,,,,,,
FALCON,FALCN,-,11 SQUADRON,ROYAL AIR FORCE,P8,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
FALCON,N/A,-,GAMA AVIATION,UK GOVERNMENT CONTRACTOR,BN2T,UNITED KINGDOM,,,,,"DUE TO THE NATURE OF THESE FLIGHTS, SSR INDICATION IS RARELY DISPLAYED",U,N/A,1,,,,,,,,,,,,,,,,,,,
FANG,FANG,-,9 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FEAR,N/A,N/A,GENERIC,ROYAL NAVY,N/A,UNITED KINGDOM,ANY SHIP OR AIRCRAFT AT THE SCENE OF A SEARCH AND RESCUE OPERATION,,,,,U,N/A,3,,JSP506,,,,,,,,,,,,,,,,,
FEN BRAVO,FENB,-,NO. 1 FLYING TRAINING SCHOOL,ROYAL AIR FORCE,EC35,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
FEN BRAVO,FENB,-,NO. 1 FLYING TRAINING SCHOOL,ROYAL AIR FORCE,EC45,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
FEN CHARLIE,FENC,-,NO. 1 FLYING TRAINING SCHOOL,ROYAL AIR FORCE,EC35,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
FEN CHARLIE,FENC,-,NO. 1 FLYING TRAINING SCHOOL,ROYAL AIR FORCE,EC45,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
FEN WHISKEY,FENW,-,NO. 1 FLYING TRAINING SCHOOL,ROYAL AIR FORCE,EC35,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
FEN WHISKEY,FENW,-,NO. 1 FLYING TRAINING SCHOOL,ROYAL AIR FORCE,EC45,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
FENTON,FENTN,-,617 SQUADRON,ROYAL AIR FORCE,VF35,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FERENS,FERNS,-,AMTC,ROYAL AIR FORCE,UNKN,UNITED KINGDOM,,,,,"THE FULL NAME OF THE AMTC ABBREVIATION IS CURRENTLY NOT KNOWN THOUGH IT IS LIKELY ASSOCIATED WITH THE HISTORICAL AVIATION MEDICINE TRAINING CENTRE, OR, THE AIR MOBILITY TRAINING AND CONVERSION UNIT.",U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FICTION,FICTN,-,658 SQUADRON,ARMY AIR CORPS,AS32,UNITED KINGDOM,MOD A BLOCK,,,,"DUE TO THE NATURE OF THESE FLIGHTS, SSR INDICATION IS RARELY DISPLAYED",U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FIGHTERS,FGTRS,-,BATTLE OF BRITAIN MEMORIAL FLIGHT,ROYAL AIR FORCE,HURI,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FIGHTERS,FGTRS,-,BATTLE OF BRITAIN MEMORIAL FLIGHT,ROYAL AIR FORCE,SPIT,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FIREBIRD,FBIRD,-,56 SQUADRON,ROYAL AIR FORCE,B350,UNITED KINGDOM,,,,,OPERATIONAL EVALUATION UNIT FOR UK ISTAR AIRCRAFT,U,N,1,,,,,,,,,,,,,,,,,,,
FIREBIRD,FIRBD,-,56 SQUADRON,ROYAL AIR FORCE,B350,UNITED KINGDOM,,,,,OPERATIONAL EVALUATION UNIT FOR UK ISTAR AIRCRAFT,U,N,1,,,,,,,,,,,,,,,,,,,
FIREBIRD,FRBRD,-,56 SQUADRON,ROYAL AIR FORCE,B350,UNITED KINGDOM,,,,,OPERATIONAL EVALUATION UNIT FOR UK ISTAR AIRCRAFT,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FIREBIRD,FRBRD,-,56 SQUADRON,ROYAL AIR FORCE,P8,UNITED KINGDOM,,,,,OPERATIONAL EVALUATION UNIT FOR UK ISTAR AIRCRAFT,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FIREBIRD,FRBRD,-,56 SQUADRON,ROYAL AIR FORCE,R135,UNITED KINGDOM,,,,,OPERATIONAL EVALUATION UNIT FOR UK ISTAR AIRCRAFT,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FIREBIRD,FBIRD,-,56 SQUADRON,ROYAL AIR FORCE,P8,UNITED KINGDOM,,,,,OPERATIONAL EVALUATION UNIT FOR UK ISTAR AIRCRAFT,U,N,1,,,,,,,,,,,,,,,,,,,
FIREBIRD,FIRBD,-,56 SQUADRON,ROYAL AIR FORCE,P8,UNITED KINGDOM,,,,,OPERATIONAL EVALUATION UNIT FOR UK ISTAR AIRCRAFT,U,N,1,,,,,,,,,,,,,,,,,,,
FIREBIRD,FBIRD,-,56 SQUADRON,ROYAL AIR FORCE,R135,UNITED KINGDOM,,,,,OPERATIONAL EVALUATION UNIT FOR UK ISTAR AIRCRAFT,U,N,1,,,,,,,,,,,,,,,,,,,
FIREBIRD,FIRBD,-,56 SQUADRON,ROYAL AIR FORCE,R135,UNITED KINGDOM,,,,,OPERATIONAL EVALUATION UNIT FOR UK ISTAR AIRCRAFT,U,N,1,,,,,,,,,,,,,,,,,,,
FIREBLADE,FRBLD,-,662 SQUADRON,ARMY AIR CORPS,H64,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FIREGUARD,N/A,N/A,GROUND DEFENSE REPRESENTATIVE,MINISTRY OF DEFENCE,N/A,UNITED KINGDOM,,,,,RADIO APPOINTMENT TITLE,U,N/A,2,,ACP125,,,,,,,,,,,,,,,,,
FISHNET,FSHNT,-,HEADQUARTERS AIR COMMAND (RESERVE WORD CALLSIGN POOL),ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,RESERVED FOR  2 GROUP EXERCISES.,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FLAK,FLAK,-,6 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FLAME,FLAME,-,809 NAVAL AIR SQUADRON,ROYAL NAVY,VF35,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FLATOUT,FLTOT,-,UNKN,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
FLEECE,FLECE,-,HEADQUARTERS AIR COMMAND (RESERVE WORD CALLSIGN POOL),ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,RESERVED FOR  2 GROUP EXERCISES.,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FOREST,FORST,-,SOUTHAMPTON UNIVERSITY AIR SQUADRON,ROYAL AIR FORCE,G115,UNITED KINGDOM,FORMATION,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FORTRESS,FRTRS,-,17 SQUADRON,ROYAL AIR FORCE,VF35,UNITED KINGDOM,,,,,"OPERATIONAL EVALUATION UNIT, EDWARDS AFB",U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FORTUNE,N/A,N/A,FORWARD AIR CONTROLLER (GROUND),MINISTRY OF DEFENCE,N/A,UNITED KINGDOM,,,,,RADIO APPOINTMENT TITLE,U,N/A,2,,ACP125,,,,,,,,,,,,,,,,,
FOUNTAIN,FONTN,-,HEADQUARTERS AIR COMMAND (RESERVE WORD CALLSIGN POOL),ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,RESERVED FOR  2 GROUP EXERCISES.,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FOXHOUND,N/A,N/A,INFANTRY,MINISTRY OF DEFENCE,N/A,UNITED KINGDOM,,,,,RADIO APPOINTMENT TITLE,U,N/A,2,,ACP125,,,,,,,,,,,,,,,,,
FOZZY,FOZZY,-,JOINT FORCE AIR COMPONENT HEADQUARTERS,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,RESERVE WORD CALLSIGN POOL,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FREYJA,FREYA,-,495TH FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F35,UNITED KINGDOM,,,LAKENHEATH,,,U,N,1,,,,,,,,,,,,,,,,,,,
FULFIL,FULFL,-,RAF ODIHAM,ROYAL AIR FORCE,H47,UNITED KINGDOM,,STATION CALLSIGN,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FULMAR,FULMR,-,815 NAVAL AIR SQUADRON,ROYAL NAVY,LYNX,UNITED KINGDOM,MARITIME INTERDICTION,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FURIOUS,FURIOS,-,845 NAVAL AIR SQUADRON,ROYAL NAVY,EH10,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
FURIOUS,FRYUS,-,845 NAVAL AIR SQUADRON,ROYAL NAVY,EH10,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
FURY,FURY,-,48TH FIGHTER WING,UNITED STATES AIR FORCE EUROPE,F15,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GALAXY,N/A,-,GAMA AVIATION,UK GOVERNMENT CONTRACTOR,BN2T,UNITED KINGDOM,,,,,"DUE TO THE NATURE OF THESE FLIGHTS, SSR INDICATION IS RARELY DISPLAYED",U,N/A,1,,,,,,,,,,,,,,,,,,,
GALLANT,GALNT,-,JOINT FORCE AIR COMPONENT HEADQUARTERS,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,RESERVE WORD CALLSIGN POOL,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GALLEON,GLEON,-,72 SQUADRON,ROYAL AIR FORCE,TEX2,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GAMBIT,GMBIT,-,668 SQUADRON,ARMY AIR CORPS,N/A,UNITED KINGDOM,,,,,FLYING OPERATIONS CEASED 1971,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GANGSTER,GNSTR,-,22 SQUADRON,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,JOINT HELICOPTER COMMAND,OPERATIONAL EVALUATION UNIT FOR ARMY,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GANGSTER,GNGSTR,-,22 SQUADRON,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,JOINT HELICOPTER COMMAND,OPERATIONAL EVALUATION UNIT FOR ARMY,,,,U,N,1,,,,,,,,,,,,,,,,,,,
GANGWAY,GNGWY,-,HEADQUARTERS AIR COMMAND (RESERVE WORD CALLSIGN POOL),ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,RESERVED FOR  2 GROUP EXERCISES.,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GANNET,GANET,-,1312 FLIGHT,ROYAL AIR FORCE,A332,UNITED KINGDOM,,A330 AIRCRAFT DEPLOYED TO FALKLANDS.,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GARFIELD,GRFLD,-,825 NAVAL AIR SQUADRON,ROYAL NAVY,LYNX,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GARLAND,GRLND,-,12 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GASPIPE,GASPE,-,HEADQUARTERS AIR COMMAND (RESERVE WORD CALLSIGN POOL),ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,RESERVED FOR  2 GROUP EXERCISES.,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GATOR,GATOR,-,493RD FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F35,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GAUCHO,GACHO,-,16 SQUADRON,ROYAL AIR FORCE,G115,UNITED KINGDOM,FORMATION,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GAUNTLET,BDN,BDN,"DEFENSE AND RESEARCH AGENCY, BOSCOMBE DOWN",MINISTRY OF DEFENCE,VARIOUS,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GEORDIE,GEORDIE,-,NORTHUMBRIAN UNIVERSITIES AIR SQUADRON,ROYAL AIR FORCE,G115,UNITED KINGDOM,FORMATION,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
GEORDIE,GEORD,-,NORTHUMBRIAN UNIVERSITIES AIR SQUADRON,ROYAL AIR FORCE,G115,UNITED KINGDOM,FORMATION,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GET SOME,GETSUM,-,3 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
GHOST,GHOST,-,617 SQUADRON,ROYAL AIR FORCE,VF35,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GHOST,GT,-,617 SQUADRON,ROYAL AIR FORCE,VF35,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
GHOST RIDER,GTRDR,-,1435 FLIGHT,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,QRA AIRCRAFT DEPLOYED TO FALKLANDS.,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GHOSTRIDER,GTRDR,-,1435 FLIGHT,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,QRA AIRCRAFT DEPLOYED TO FALKLANDS.,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GHOSTSHIP,GSSHP,-,633 SQUADRON,ARMY AIR CORPS,H64,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GHURKA,GHRKA,-,28 SQUADRON,ROYAL AIR FORCE,H47,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GIANT,GIANT,-,99 SQUADRON,ROYAL AIR FORCE,C17,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
GIBSON,GIBSN,-,617 SQUADRON,ROYAL AIR FORCE,VF35,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
