Manufacturer,Model,ICAO Type Designator,ICAO WTC,MCTOM (Kg),UK Departure WTC,UK Arrival WTC,Common Name
AEROSPATIALE,Tiger,AS32,M,9300,S,S,
AEROSPATIALE,AS-332L2 Super Puma Mk2,AS3B,M,9300,S,S,
AEROSPATIALE,AS-532A2 Cougar Mk2,AS3B,M,9300,S,S,
AEROSPATIALE,AS-532U2 Cougar Mk2,AS3B,M,9300,S,S,
AEROSPATIALE,Cougar Mk2,AS3B,M,9300,S,S,
AEROSPATIALE,Super Puma Mk2,AS3B,M,9300,S,S,
AEROSPATIALE,AS-350 AStar,AS50,L,2500,L,L,
AEROSPATIALE,AS-350 Ecureuil,AS50,L,2500,L,L,
AEROSPATIALE,AS-350 SuperStar,AS50,L,2500,L,L,
AEROSPATIALE,AS-550 Fennec,AS50,L,2500,L,L,
AEROSPATIALE,AStar,AS50,L,2500,L,L,
AEROSPATIALE,Ecureuil,AS50,L,2500,L,L,
AEROSPATIALE,Fennec (AS-550),AS50,L,2500,L,L,
AEROSPATIALE,SuperStar,AS50,L,2500,L,L,
AEROSPATIALE,AS-355 Ecureuil 2,AS55,L,2600,L,L,
AEROSPATIALE,AS-355 TwinStar,AS55,L,2600,L,L,
AEROSPATIALE,AS-555 Fennec,AS55,L,2600,L,L,
AEROSPATIALE,Ecureuil 2,AS55,L,2600,L,L,
AEROSPATIALE,Fennec (AS-555),AS55,L,2600,L,L,
AEROSPATIALE,TwinStar,AS55,L,2600,L,L,
AEROSPATIALE,AS-365 Dauphin 2,AS65,L,4300,L,L,
AEROSPATIALE,AS-366 Dolphin,AS65,L,4060,L,L,
AEROSPATIALE,AS-565 Panther,AS65,L,4300,L,L,
AEROSPATIALE,"Dauphin 2 (AS-365, SA-365F/N)",AS65,L,4300,L,L,
AEROSPATIALE,Dolphin,AS65,L,4300,L,L,
AEROSPATIALE,HH-65 Dolphin,AS65,L,4300,L,L,
AEROSPATIALE,Panther,AS65,L,4300,L,L,
AEROSPATIALE,SA-365F Dauphin 2,AS65,L,4300,L,L,
AEROSPATIALE,SA-365K Panther,AS65,L,4300,L,L,
AEROSPATIALE,SA-365M Panther,AS65,L,4300,L,L,
AEROSPATIALE,SA-365N Dauphin 2,AS65,L,4300,L,L,
AEROSPATIALE,SA-366 Dolphin,AS65,L,4060,L,L,
AEROSPATIALE,SA-321 Super Frelon,FREL,M,13000,S,S,
AEROSPATIALE,Super Frelon,FREL,M,13000,S,S,
AEROSPATIALE,Gazelle,GAZL,L,1900,L,L,
AEROSPATIALE,SA-341 Gazelle,GAZL,L,1800,L,L,
AEROSPATIALE,SA-342 Gazelle,GAZL,L,1900,L,L,
AEROSPATIALE,Lama,LAMA,L,2300,L,L,
AEROSPATIALE,SA-315 Lama,LAMA,L,2300,L,L,
AEROSPATIALE,CH-33 Puma,PUMA,M,7400,S,S,
AEROSPATIALE,Puma,PUMA,M,7400,S,S,
AEROSPATIALE,SA-330 Puma,PUMA,M,7400,S,S,
AEROSPATIALE,Dauphin,S360,L,3000,L,L,
AEROSPATIALE,SA-360 Dauphin,S360,L,3000,L,L,
AEROSPATIALE,SA-361 Dauphin,S360,L,3000,L,L,
AEROSPATIALE,SN-601 Corvette,S601,L,7050,L,L,
AEROSPATIALE,Dauphin 2 (SA-365C),S65C,L,4300,L,L,
AEROSPATIALE,SA-365C Dauphin 2,S65C,L,4300,L,L,
AEROSPOOL,Dynamic,WT9,L,600,L,L,
AEROSPORT,Quail,QAIL,L,0,L,L,
AEROSPORT,Rail,RAIL,L,0,L,L,
AEROSTAR (1),FJ-100,FJ10,L,3311,L,L,
AEROSTAR (2),R40S Festival,FEST,L,0,L,L,
AEROTEC (1),A-122 Uirapuru,A122,L,840,L,L,
AEROTEC (2),Fantasy,MX80,L,0,L,L,
AEROTECHNIK,Vivat,L13S,L,720,L,L,
AEROTEK (2),Hummingbird,HUMM,L,0,L,L,
AEROTEK (3),Turbo Grizzly,GRIZ,L,0,L,L,
AEROTREK,A-220,EFOX,L,473,L,L,
AGRO-COPTEROS,Aventura,MX10,L,0,L,L,
AGRO-COPTEROS,Amigo,MX65,L,0,L,L,
AGRO-COPTEROS,Scamp,SCAM,L,0,L,L,
AGUSTA,A-109,A109,L,3175,L,L,
AGUSTA,A-109 Grand,A109,L,3175,L,L,
AGUSTA,A-109 Nexus,A109,L,3175,L,L,
AGUSTA,A-109 Power,A109,L,3175,L,L,
AGUSTA,AW-109,A109,L,3175,L,L,
AGUSTA,AW-109 Da Vinci,A109,L,3175,L,L,
AGUSTA,AW-109 Grand,A109,L,3175,L,L,
AGUSTA,AW-109 GrandNew,A109,L,3175,L,L,
AGUSTA,AW-109 Nexus,A109,L,3175,L,L,
AGUSTA,AW-109 Power,A109,L,3175,L,L,
AGUSTA,AW-109 Trekker,A109,L,3175,L,L,
AGUSTA,Da Vinci,A109,L,3175,L,L,
AGUSTA,ESC-2,A109,L,3175,L,L,
AGUSTA,Grand,A109,L,3175,L,L,
AGUSTA,GrandNew,A109,L,3175,L,L,
AGUSTA,Hkp15,A109,L,3175,L,L,
AGUSTA,MH-68 Stingray,A109,L,3175,L,L,
AGUSTA,Nexus,A109,L,3175,L,L,
AGUSTA,Power,A109,L,3175,L,L,
AGUSTA,Stingray,A109,L,3175,L,L,
AGUSTA,Trekker,A109,L,3175,L,L,
AGUSTA,A-119 Koala,A119,L,2850,L,L,
AGUSTA,AW-119 Koala,A119,L,2850,L,L,
AGUSTA,Koala,A119,L,2850,L,L,
AGUSTA,A-129 Mangusta,A129,L,4600,L,L,
AGUSTA,AW-129,A129,L,4600,L,L,
AGUSTA,Mangusta,A129,L,4600,L,L,
AGUSTA,T-129,A129,L,4600,L,L,
AGUSTA,AW-139,A139,L,7000,S,S,
AGUSTA,UH-139,A139,L,7000,S,S,
AGUSTA,AW-149,A149,M,8600,S,S,
AGUSTA,AB-206 JetRanger,B06,L,1520,L,L,
AGUSTA,AB-206 LongRanger,B06,L,1520,L,L,
AGUSTA,Hkp6 JetRanger,B06,L,1520,L,L,
AGUSTA,JetRanger,B06,L,1520,L,L,
AGUSTA,LongRanger,B06,L,1520,L,L,
AGUSTA,AB-212,B212,L,5080,L,L,
AGUSTA,AB-412,B412,L,5400,L,L,
AGUSTA,AB-412 Griffon,B412,L,5400,L,L,
AGUSTA,Griffon,B412,L,5400,L,L,
AGUSTA,Hkp11,B412,L,5400,L,L,
AGUSTA,AB-47G,B47G,L,1452,L,L,
AGUSTA,AB-47J,B47J,L,1338,L,L,
AGUSTA,NH-500,H500,L,1361,L,L,
AGUSTA,AS-61A,S61,M,9526,S,S,
AGUSTA,AS-61N,S61,M,9526,S,S,
AGUSTA,ASH-61,S61,M,9526,S,S,
AGUSTA,SH-3,S61,M,9526,S,S,
AGUSTA,AS-61R,S61R,M,8845,S,S,
AGUSTA,HH-3,S61R,M,8845,S,S,
AGUSTA,AB-204,UH1,L,3856,L,L,
AGUSTA,AB-205,UH1,L,4763,L,L,
AGUSTA,Hkp3,UH1,L,4763,L,L,
AGUSTAWESTLAND,AW-109,A109,L,3175,L,L,
AGUSTAWESTLAND,AW-109 Grand,A109,L,3175,L,L,
AGUSTAWESTLAND,AW-109 GrandNew,A109,L,3175,L,L,
AGUSTAWESTLAND,AW-109 Power,A109,L,3175,L,L,
AGUSTAWESTLAND,Grand,A109,L,3175,L,L,
AGUSTAWESTLAND,GrandNew,A109,L,3175,L,L,
AGUSTAWESTLAND,Power,A109,L,3175,L,L,
AGUSTAWESTLAND,AW-119 Koala,A119,L,2850,L,L,
AGUSTAWESTLAND,Koala,A119,L,2850,L,L,
AGUSTAWESTLAND,AW-129,A129,L,4600,L,L,
AGUSTAWESTLAND,AW-139,A139,L,7000,S,S,
AGUSTAWESTLAND,HH-139,A139,L,7000,S,S,
AGUSTAWESTLAND,UH-139,A139,L,7000,S,S,
AGUSTAWESTLAND,VH-139,A139,L,7000,S,S,
AGUSTAWESTLAND,AW-149,A149,M,8600,S,S,
AGUSTAWESTLAND,AW-169,A169,L,4800,L,L,
AGUSTAWESTLAND,AW-189,A189,M,8600,S,S,
AGUSTAWESTLAND,AW-101,EH10,M,14600,S,S,
AGUSTAWESTLAND,AW-101 Merlin Joint Supporter,EH10,M,14600,S,S,
AGUSTAWESTLAND,Caesar,EH10,M,14600,S,S,
AGUSTAWESTLAND,EH-101,EH10,M,14600,S,S,
AGUSTAWESTLAND,EH-101 Merlin,EH10,M,14600,S,S,
AGUSTAWESTLAND,EH-101 Merlin Joint Supporter,EH10,M,14600,S,S,
AGUSTAWESTLAND,HH-101 Caesar,EH10,M,14600,S,S,
AGUSTAWESTLAND,MCH-101,EH10,M,14600,S,S,
AGUSTAWESTLAND,Merlin,EH10,M,14600,S,S,
AGUSTAWESTLAND,Merlin Joint Supporter,EH10,M,14600,S,S,
AGUSTAWESTLAND,SH-101,EH10,M,14600,S,S,
AGUSTAWESTLAND,UH-101,EH10,M,14600,S,S,
AGUSTAWESTLAND,Chinook,H47,M,22680,S,S,
AGUSTAWESTLAND,ICH-47 Chinook,H47,M,22680,S,S,
AGUSTAWESTLAND,AW-159 Lynx Wildcat,LYNX,L,5330,L,L,
AGUSTAWESTLAND,AW-159 Wildcat,LYNX,L,5330,L,L,
AGUSTAWESTLAND,Lynx Wildcat,LYNX,L,5330,L,L,
AGUSTAWESTLAND,Super Lynx,LYNX,L,5330,L,L,
AGUSTAWESTLAND,WG-13 Super Lynx,LYNX,L,5330,L,L,
AGUSTAWESTLAND,Wildcat,LYNX,L,5330,L,L,
AIDC,Tzu-Chung,AT3,M,7938,L,L,
AIDC,Chung-Tsing,CH1,L,0,L,L,
AIDC,Ching-Kuo,CKUO,M,12247,L,L,
AIDC,UH-1,UH1,L,5080,L,L,
AIR TRACTOR,AT-250,AT2P,L,2041,L,L,
AIR TRACTOR,AT-301,AT3P,L,2268,L,L,
AIR TRACTOR,AT-302,AT3T,L,3175,L,L,
AIR TRACTOR,AT-501,AT5P,L,2948,L,L,
AIR TRACTOR,AT-503,AT5T,L,3629,L,L,
AIR TRACTOR,AT-602,AT6T,L,5670,L,L,
AIR TRACTOR,AT-802,AT8T,L/M,7257,L,L,
AIRBUS,A319NEO,A19N,M,78200,M,LM,
AIRBUS,A320NEO,A20N,M,79000,M,LM,
AIRBUS,A321NEO,A21N,M,97000,M,LM,
AIRBUS,A-300B4-600,A306,H,171700,H,H,
AIRBUS,A-300B2-1,A30B,H,165000,H,H,
AIRBUS,A-310,A310,H,164000,H,H,
AIRBUS,A-318,A318,M,68000,M,LM,
AIRBUS,A-319,A319,M,76500,M,LM,
AIRBUS,A-320,A320,M,78000,M,LM,
AIRBUS,A-321,A321,M,93500,M,LM,
AIRBUS,A-330-200,A332,H,242000,H,H,
AIRBUS,A-330-300,A333,H,242000,H,H,
AIRBUS,A330-700 Beluga XL,A337,H,227000,H,H,
AIRBUS,A-330-800,A338,H,242000,H,H,
AIRBUS,A-330-900,A339,H,251000,H,H,
AIRBUS,A-340-200,A342,H,275000,H,H,
AIRBUS,A-340-300,A343,H,276500,H,H,
AIRBUS,A-340-500,A345,H,380000,H,H,
AIRBUS,A-340-600,A346,H,380000,H,H,
AIRBUS,A-350-900 XWB,A359,H,280000,H,H,
AIRBUS,A-350-1000 XWB,A35K,H,316000,H,H,
AIRBUS,A-380-800,A388,H,575000,J,J,
AIRBUS,A-400M Grizzly,A400,H,137500,H,H,
AIRBUS,A-220-100,BCS1,M,60781,M,LM,
AIRBUS,A-220-300,BCS3,M,70896,M,LM,
AIRBUS,E-Fan,EFAN,L,0,L,L,
AIRBUS,VAH-001 Vahana,VAH1,L,815,L,L,
AIRBUS HELICOPTERS,AS-332C Super Puma,AS32,M,8600,S,S,
AIRBUS HELICOPTERS,AS-332L1 Super Puma,AS32,M,8600,S,S,
AIRBUS HELICOPTERS,AS-532AL Cougar,AS32,M,8600,S,S,
AIRBUS HELICOPTERS,Cougar,AS32,M,8600,S,S,
AIRBUS HELICOPTERS,Super Puma,AS32,M,8600,S,S,
AIRBUS HELICOPTERS,AS-350 Ecureuil,AS50,L,2500,L,L,
AIRBUS HELICOPTERS,AS-350 SuperStar,AS50,L,2500,L,L,
AIRBUS HELICOPTERS,AS-550 Fennec,AS50,L,2500,L,L,
AIRBUS HELICOPTERS,Ecureuil,AS50,L,2500,L,L,
AIRBUS HELICOPTERS,Fennec,AS50,L,2500,L,L,
AIRBUS HELICOPTERS,H-125 Ecureuil,AS50,L,2500,L,L,
AIRBUS HELICOPTERS,H-125 Fennec,AS50,L,2500,L,L,
AIRBUS HELICOPTERS,H-125 SuperStar,AS50,L,2500,L,L,
AIRBUS HELICOPTERS,SuperStar,AS50,L,2500,L,L,
AIRBUS HELICOPTERS,AS-355 Ecureuil 2,AS55,L,2600,L,L,
AIRBUS HELICOPTERS,Ecureuil 2,AS55,L,2600,L,L,
AIRBUS HELICOPTERS,AS-365 Dauphin 2,AS65,L,4300,L,L,
AIRBUS HELICOPTERS,AS-565 Panther,AS65,L,4300,L,L,
AIRBUS HELICOPTERS,Dauphin 2,AS65,L,4300,L,L,
AIRBUS HELICOPTERS,Panther,AS65,L,4300,L,L,
AIRBUS HELICOPTERS,Colibri,EC20,L,1715,L,L,
AIRBUS HELICOPTERS,EC-120 Colibri,EC20,L,1715,L,L,
AIRBUS HELICOPTERS,H-120 Colibri,EC20,L,1715,L,L,
AIRBUS HELICOPTERS,Cougar Mk2+,EC25,M,11160,S,S,
AIRBUS HELICOPTERS,EC-225 Super Puma Mk2+,EC25,M,11160,S,S,
AIRBUS HELICOPTERS,EC-725 Cougar Mk2+,EC25,M,11160,S,S,
AIRBUS HELICOPTERS,H-225 Cougar Mk2+,EC25,M,11160,S,S,
AIRBUS HELICOPTERS,H-225 Super Puma Mk2+,EC25,M,11160,S,S,
AIRBUS HELICOPTERS,Super Puma Mk2+,EC25,M,11160,S,S,
AIRBUS HELICOPTERS,EC-130,EC30,L,2500,L,L,
AIRBUS HELICOPTERS,H-130,EC30,L,2500,L,L,
AIRBUS HELICOPTERS,Bluecopter,EC35,L,3100,L,L,
AIRBUS HELICOPTERS,EC-135,EC35,L,3100,L,L,
AIRBUS HELICOPTERS,EC-135 Bluecopter,EC35,L,3100,L,L,
AIRBUS HELICOPTERS,EC-635,EC35,L,3100,L,L,
AIRBUS HELICOPTERS,H-135,EC35,L,3100,L,L,
AIRBUS HELICOPTERS,BK-117A-1,EC45,L,2850,L,L,
AIRBUS HELICOPTERS,BK-117A-3,EC45,L,3200,L,L,
AIRBUS HELICOPTERS,BK-117A-4,EC45,L,3200,L,L,
AIRBUS HELICOPTERS,BK-117B-1,EC45,L,3200,L,L,
AIRBUS HELICOPTERS,BK-117B-2,EC45,L,3350,L,L,
AIRBUS HELICOPTERS,BK-117C-1,EC45,L,3350,L,L,
AIRBUS HELICOPTERS,EC-155,EC55,L,4920,L,L,
AIRBUS HELICOPTERS,H-155,EC55,L,4920,L,L,
AIRBUS HELICOPTERS,H-160-B,H160,L,6100,L,L,
AIRBUS HELICOPTERS,EC-665 Tiger,TIGR,L,6600,L,L,
AIRBUS HELICOPTERS,EC-665 Tigre,TIGR,L,6600,L,L,
AIRBUS HELICOPTERS,Tiger,TIGR,L,6600,L,L,
AIRBUS HELICOPTERS,Tigre,TIGR,L,6600,L,L,
AIRBUS HELICOPTERS-HARBIN,EC-175,EC75,M,7800,S,S,
AIRBUS HELICOPTERS-HARBIN,H-175,EC75,M,7800,S,S,
AIRBUS HELICOPTERS-HARBIN,Z-15,EC75,M,7800,S,S,
AIRBUS HELICOPTERS-KAWASAKI,BK-117C-2,EC45,L,3585,L,L,
AIRBUS HELICOPTERS-KAWASAKI,BK-117D-2,EC45,L,3800,L,L,
AIRBUS HELICOPTERS-KAWASAKI,BK-117D-3,EC45,L,3800,L,L,
AIRBUS HELICOPTERS-KAWASAKI,EC-145,EC45,L,3800,L,L,
AIRBUS HELICOPTERS-KAWASAKI,EC-645,EC45,L,3800,L,L,
AIRBUS HELICOPTERS-KAWASAKI,H-145,EC45,L,3800,L,L,
AIRBUS HELICOPTERS-KAWASAKI,Lakota,EC45,L,3800,L,L,
AIRBUS HELICOPTERS-KAWASAKI,UH-72 Lakota,EC45,L,3800,L,L,
AIRCRAFT DESIGNS,Stallion,STAL,L,0,L,L,
AIRCRAFT DESIGNS,Turbine Stallion,STAT,L,0,L,L,
AIRCRAFT HYDRO-FORMING,Bushmaster 2000,BU20,L,5670,L,L,
AIRCRAFT TECHNOLOGIES,Acro 1,ATAC,L,0,L,L,
AIRCRAFT TECHNOLOGIES,Atlantis,ATIS,L,0,L,L,
AIRCRAFT TECHNOLOGIES,Meyer-360,M360,L,0,L,L,
AIRLONY,Skylane,ALSL,L,473,L,L,
AIRPLANE FACTORY,Sling 2,SLG2,L,750,L,L,
AIRPLANE FACTORY,Sling 4,SLG4,L,920,L,L,
AIRSPORT,Sonata,SNTA,L,473,L,L,
AISA,I-115,I115,L,0,L,L,
AISA,I-11B Peque,I11B,L,0,L,L,
AKAFLIEG BERLIN,B-13,B13,L,820,L,L,
AKAFLIEG DARMSTADT,D-39,D39,L,0,L,L,
AKAFLIEG KARLSRUHE,AK-1,AK1,L,0,L,L,
AKAFLIEG MUNCHEN,Mü-23 Saurier,MU23,L,0,L,L,
AKAFLIEG MUNCHEN,Schlacro,SCRO,L,0,L,L,
ALANNE,Moottori-Lerche,MLER,L,0,L,L,
ALENIA,C-27A Spartan,G222,M,31800,S,S,
ALENIA AERMACCHI,C-27J Spartan,C27J,M,30500,S,S,
ALENIA AERMACCHI,MB-339,M339,L,6350,L,L,
ALENIA AERMACCHI,M-346 Master,M346,M,9500,L,L,
ALFA-M,A-211,A211,L,0,L,L,
ALPI,AH-130 Syton,ES11,L,580,L,L,
ALPI,Syton,ES11,L,580,L,L,
ALPI,Pioneer 200,PNR2,L,520,L,L,
ALPI,Pioneer 300,PNR3,L,560,L,L,
ALPI,Pioneer 400,PNR4,L,800,L,L,
ALTAIR COELHO,AC-11,ALC1,L,0,L,L,
ALVAREZ,Polliwagen,POLI,L,0,L,L,
AMAX,Sport 1700,SPOR,L,0,L,L,
AMAX,Vixen,VIXN,L,0,L,L,
AMC,Texas Bullet 205,TB05,L,1043,L,L,
AMD,CH-650 Zodiac,CH65,L,599,L,L,
AMD,CH-750 Stol,CH75,L,653,L,L,
AMD,Patriot,MX1T,L,599,L,L,
AMEAGLE,American Eaglet,EAGT,L,406,L,L,
AMERICAN AFFORDABLE,Vision,VSON,L,0,L,L,
AMERICAN AIRCRAFT,Falcon XP,FALC,L,0,L,L,
AMERICAN EAGLE,A-1,AEA1,L,499,L,L,
AMERICAN HOMEBUILTS,John Doe,JDOE,L,0,L,L,
