ICAO CODE,IATA CODE,ALTERNATIVE CODE,LOCATION SERVED,AIRPORT,ALTERNATIVE NAME,HISTORICAL NAME,COUNTRY,TYPE,USER,NOTES,ICAO REGION
LFDQ,-,-,CASTELNAU-MAGNOAC,CASTELNAU-MAGNOAC AERODROME,-,-,FRANCE,,,-,L
LFDR,-,-,LA RÉOLE,LA RÉOLE - FLOUDÈS AIRPORT,-,-,FRANCE,,,-,L
LFDS,XSL,-,SARLAT-LA-CANÉDA,SARLAT - DOMME AIRPORT,-,-,FRANCE,,,-,L
LFDU,-,-,LESPARRE-MÉDOC,LESPARRE - SAINT-LAURENT-DE-MÉDOC AIRPORT,-,-,FRANCE,,,-,L
LFDV,-,-,COUHÉ,COUHÉ - VÉRAC AIRPORT,-,-,FRANCE,,,-,L
LFDW,-,-,CHAUVIGNY,CHAUVIGNY AIRPORT,-,-,FRANCE,,,-,L
LFDX,-,-,FUMEL,FUMEL - MONTAYRAL AIRPORT,-,-,FRANCE,,,-,L
LFDY,-,-,YVRAC,BORDEAUX - YVRAC AERODROME,-,-,FRANCE,,,-,L
LFEA,-,-,BELLE ÎLE,BELLE-ÎLE AERODROME,-,-,FRANCE,,,-,L
LFEB,-,-,DINAN,DINAN - TRÉLIVAN AIRPORT,-,-,FRANCE,,,-,L
LFEC,-,-,USHANT,OUESSANT AIRPORT,-,-,FRANCE,,,-,L
LFED,-,-,PONTIVY,PONTIVY AIRPORT,-,-,FRANCE,,,-,L
LFEF,XAM,-,AMBOISE,AMBOISE - DIERRE AIRPORT,-,-,FRANCE,,,-,L
LFEG,-,-,ARGENTON-SUR-CREUSE,ARGENTON-SUR-CREUSE AIRPORT,-,-,FRANCE,,,-,L
LFEH,-,-,AUBIGNY-SUR-NÈRE,AUBIGNY-SUR-NÈRE AIRPORT,-,-,FRANCE,,,-,L
LFEI,-,-,BRIARE,BRIARE - CHÂTILLON AIRPORT,-,-,FRANCE,,,-,L
LFEJ,-,-,CHÂTEAUROUX,CHÂTEAUROUX - VILLERS AIRPORT,-,-,FRANCE,,,-,L
LFEK,-,-,ISSOUDUN,ISSOUDUN - LE FAY AIRPORT,-,-,FRANCE,,,-,L
LFEL,-,-,LE BLANC,LE BLANC AIRPORT,-,-,FRANCE,,,-,L
LFEM,-,-,MONTARGIS,MONTARGIS - VIMORY AIRPORT,-,-,FRANCE,,,-,L
LFEN,-,-,SORIGNY,TOURS - SORIGNY AIRPORT,-,-,FRANCE,,,-,L
LFEO,XSB,-,SAINT-MALO,SAINT-SERVAN AIRPORT,-,-,FRANCE,,,-,L
LFEP,-,-,POUILLY-EN-AUXOIS,POUILLY - MACONGE AERODROME,-,-,FRANCE,,,-,L
LFEQ,-,-,QUIBERON,QUIBERON AERODROME,-,-,FRANCE,,,-,L
LFER,XRN,-,REDON,REDON - BAINS-SUR-OUST AERODROME,-,-,FRANCE,,,-,L
LFES,-,-,GUISCRIFF,GUISCRIFF SCAER AIRPORT,-,-,FRANCE,,,-,L
LFET,-,-,TIL-CHÂTEL,TIL-CHÂTEL AIRPORT,-,-,FRANCE,,,-,L
LFEU,XBD,-,BAR-LE-DUC,BAR-LE-DUC - LES HAUTS-DE-CHÉE AIRPORT,-,-,FRANCE,,,-,L
LFEV,-,-,GRAY,GRAY - SAINT-ADRIEN AIRPORT,-,-,FRANCE,,,-,L
LFEW,-,-,SAULIEU,SAULIEU - LIERNAIS AIRPORT,-,-,FRANCE,,,-,L
LFEX,-,-,NANCY,NANCY - AZELOT AERODROME,-,-,FRANCE,,,-,L
LFEY,IDY,-,ÎLE D'YEU,ÎLE D'YEU AERODROME,-,-,FRANCE,,,-,L
LFEZ,-,-,MALZÉVILLE,NANCY - MALZÉVILLE AERODROME,-,-,FRANCE,,,-,L
LFFB,-,-,BUNO-BONNEVAUX,BUNO-BONNEVAUX AERODROME,-,-,FRANCE,,,-,L
LFFC,-,-,MANTES-LA-JOLIE,MANTES - CHÉRENCE AERODROME,-,-,FRANCE,,,-,L
LFFD,-,-,SAINT-ANDRÉ-DE-L'EURE,SAINT-ANDRÉ-DE-L'EURE AIRPORT,-,-,FRANCE,,,-,L
LFFE,-,-,ENGHIEN-LES-BAINS,ENGHIEN - MOISSELLES AIRPORT,-,-,FRANCE,,,-,L
LFFG,-,-,LA FERTÉ-GAUCHER,LA FERTÉ-GAUCHER AERODROME,-,-,FRANCE,,,-,L
LFFH,XCY,-,CHÂTEAU-THIERRY,CHÂTEAU-THIERRY – BELLEAU AERODROME,-,-,FRANCE,,,-,L
LFFI,-,-,ANCENIS,ANCENIS AERODROME,-,-,FRANCE,,,-,L
LFFJ,-,-,JOINVILLE,JOINVILLE - MUSSEY AERODROME,-,-,FRANCE,,,-,L
LFFK,-,-,FONTENAY-LE-COMTE,FONTENAY-LE-COMTE AIRPORT,-,-,FRANCE,,,-,L
LFFL,-,-,BAILLEAU-ARMENONVILLE,BAILLEAU-ARMENONVILLE AERODROME,-,-,FRANCE,,,-,L
LFFM,-,-,LAMOTTE-BEUVRON,LAMOTTE-BEUVRON AERODROME,-,-,FRANCE,,,-,L
LFFN,-,-,BRIENNE-LE-CHÂTEAU,BRIENNE-LE-CHÂTEAU AIRPORT,-,-,FRANCE,,,-,L
LFFP,-,-,PITHIVIERS,PITHIVIERS AERODROME,-,-,FRANCE,,,-,L
LFFQ,-,-,LA FERTÉ-ALAIS,LA FERTÉ-ALAIS AERODROME,-,-,FRANCE,,,-,L
LFFR,-,-,BAR-SUR-SEINE,BAR-SUR-SEINE AERODROME,-,-,FRANCE,,,-,L
LFFT,-,-,NEUFCHÂTEAU,NEUFCHÂTEAU AIRPORT,-,-,FRANCE,,,-,L
LFFU,-,-,CHÂTEAUNEUF-SUR-CHER,CHÂTEAUNEUF-SUR-CHER AIRPORT,-,-,FRANCE,,,-,L
LFFV,XVZ,-,VIERZON,VIERZON - MÉREAU AERODROME,-,-,FRANCE,,,-,L
LFFW,-,-,SAINT-GEORGES-DE-MONTAIGU,MONTAIGU - SAINT-GEORGES AIRPORT,-,-,FRANCE,,,-,L
LFFX,-,-,TOURNUS,TOURNUS - CRUISERY AERODROME,-,-,FRANCE,,,-,L
LFFY,-,-,ÉTRÉPAGNY,ÉTRÉPAGNY AERODROME,-,-,FRANCE,,,-,L
LFFZ,-,-,SÉZANNE,SÉZANNE - SAINT-REMY AIRPORT,-,-,FRANCE,,,-,L
LFGA,CMR,-,COLMAR,COLMAR AIRPORT,-,-,FRANCE,,,-,L
LFGB,-,-,HABSHEIM,MULHOUSE–HABSHEIM AIRPORT,-,-,FRANCE,,,-,L
LFGC,-,-,STRASBOURG,STRASBOURG - NEUHOF AIRPORT,-,-,FRANCE,,,-,L
LFGD,-,-,ARBOIS,ARBOIS AERODROME,-,-,FRANCE,,,-,L
LFGE,-,-,AVALLON,AVALLON AIRPORT,-,-,FRANCE,,,-,L
LFGF,XBV,-,BEAUNE,BEAUNE - CHALLANGES AIRPORT,-,-,FRANCE,,,-,L
LFGG,-,-,BELFORT,BELFORT CHAUX AIRPORT,-,-,FRANCE,,,-,L
LFGH,-,-,COSNE-COURS-SUR-LOIRE,COSNE-SUR-LOIRE AIRPORT,-,-,FRANCE,,,-,L
LFGI,-,-,DIJON,DIJON - DAROIS AIRPORT,-,-,FRANCE,,,-,L
LFGJ,DLE,-,DOLE,DOLE–JURA AIRPORT,-,-,FRANCE,,,-,L
LFGK,-,-,JOIGNY,JOIGNY AIRPORT,-,-,FRANCE,,,-,L
LFGL,XLL,-,LONS-LE-SAUNIER,LONS-LE-SAUNIER - COURLAOUX AIRPORT,-,-,FRANCE,,,-,L
LFGM,-,-,MONTCEAU-LES-MINES,MONTCEAU-LES-MINES - POUILLOUX AIRPORT,-,-,FRANCE,,,-,L
LFGN,-,-,PARAY-LE-MONIAL,PARAY-LE-MONIAL AIRPORT,-,-,FRANCE,,,-,L
LFGO,-,-,PONT-SUR-YONNE,PONT-SUR-YONNE AIRPORT,-,-,FRANCE,,,-,L
LFGP,-,-,SAINT-FLORENTIN,SAINT-FLORENTIN - CHÉU AIRPORT,-,-,FRANCE,,,-,L
LFGQ,-,-,SEMUR-EN-AUXOIS,SEMUR-EN-AUXOIS AIRPORT,-,-,FRANCE,,,-,L
LFGR,-,-,DONCOURT-LÈS-CONFLANS,DONCOURT-LÈS-CONFLANS AIRPORT,-,-,FRANCE,,,-,L
LFGS,-,-,LONGUYON,LONGUYON - VILLETTE AIRPORT,-,-,FRANCE,,,-,L
LFGT,-,-,SARREBOURG,SARREBOURG - BUHL AIRPORT,-,-,FRANCE,,,-,L
LFGU,-,-,SARREGUEMINES,SARREGUEMINES - NEUNKIRCH AIRPORT,-,-,FRANCE,,,-,L
LFGV,XTH,-,THIONVILLE,THIONVILLE - YUTZ AIRPORT,-,-,FRANCE,,,-,L
LFGW,XVN,-,VERDUN,VERDUN-LE-ROZELIER AIRPORT,-,-,FRANCE,,,-,L
LFGX,-,-,CHAMPAGNOLE,CHAMPAGNOLE - CROTENAY AERODROME,-,-,FRANCE,,,-,L
LFGY,XTD,-,SAINT-DIÉ-DES-VOSGES,SAINT-DIÉ - REMOMEIX AIRPORT,-,-,FRANCE,,,-,L
LFGZ,-,-,NUITS-SAINT-GEORGES,NUITS-SAINT-GEORGES AERODROME,-,-,FRANCE,,,-,L
LFHA,-,-,ISSOIRE,ISSOIRE - LE BROC AIRPORT,-,-,FRANCE,,,-,L
LFHC,-,-,PÉROUGES,PÉROUGES - MEXIMIEUX AERODROME,-,-,FRANCE,,,-,L
LFHD,-,-,PIERRELATTE,PIERRELATE AIRPORT,-,-,FRANCE,,,-,L
LFHE,-,-,ROMANS-SUR-ISÈRE,ROMANS - SAINT-PAUL AIRPORT,-,-,FRANCE,,,-,L
LFHF,-,-,RUOMS,RUOMS AERODROME,-,-,FRANCE,,,-,L
LFHG,-,-,SAINT-CHAMOND,SAINT-CHAMOND - L'HORME AIRPORT,-,-,FRANCE,,,-,L
LFHH,XVI,-,VIENNE,VIENNE - REVENTIN AIRPORT,-,-,FRANCE,,,-,L
LFHI,-,-,MORESTEL,MORESTEL AERODROME,-,-,FRANCE,,,-,L
LFHJ,-,-,CORBAS,LYON - CORBAS AERODROME,-,-,FRANCE,,,-,L
LFHL,-,-,LANGOGNE,LANGOGNE - LESPÉRON AIRPORT,-,-,FRANCE,,,-,L
LFHM,MVV,-,MEGÈVE,MEGÈVE ALTIPORT,ALTIPORT DE MEGÈVE,-,FRANCE,ALTIPORT,PUBLIC,-,L
LFHN,XBF,-,BELLEGARDE-SUR-VALSERINE,BELLEGARDE - VOUVRAY AERODROME,-,-,FRANCE,,,-,L
LFHO,OBS,-,AUBENAS,AUBENAS AERODROME,-,-,FRANCE,,,-,L
LFHP,LPY,-,LE PUY-EN-VELAY,LE PUY – LOUDES AIRPORT,-,-,FRANCE,,,-,L
LFHQ,-,-,SAINT-FLOUR,SAINT-FLOUR - COLTINES AIRPORT,-,-,FRANCE,,,-,L
LFHR,-,-,BRIOUDE,BRIOUDE - BEAUMONT AIRPORT,-,-,FRANCE,,,-,L
LFHS,XBK,-,BOURG-EN-BRESSE,BOURG – CEYZÉRIAT AIRPORT,-,-,FRANCE,,,-,L
LFHT,-,-,AMBERT,AMBERT - LE POYET AIRPORT,-,-,FRANCE,,,-,L
LFHU,AHZ,-,L'ALPE D'HUEZ,ALPE D'HUEZ AIRPORT,-,-,FRANCE,ALTIPORT,PUBLIC,-,L
LFHV,XVF,-,VILLEFRANCHE-SUR-SAÔNE,VILLEFRANCHE – TARARE AIRPORT,-,-,FRANCE,,,-,L
LFHW,-,-,BELLEVILLE,BELLEVILLE - VILLIÉ-MORGON AERODROME,-,-,FRANCE,,,-,L
LFHX,-,-,LAPALISSE,LAPALISSE - PÉRIGNY AIRPORT,-,-,FRANCE,,,-,L
LFHY,XMU,-,MOULINS,MOULINS – MONTBEUGNY AIRPORT,-,-,FRANCE,,,-,L
LFHZ,XSN,-,SALLANCHES,SALLANCHES AERODROME,-,-,FRANCE,,,-,L
LFIB,-,-,BELVÈS,BELVÈS - SAINT-PARDOUX AERODROME,-,-,FRANCE,,,-,L
LFID,-,-,CONDOM,CONDOM - VALENCE-SUR-BAÏSE AIRPORT,-,-,FRANCE,,,-,L
LFIF,-,-,SAINT-AFFRIQUE,SAINT-AFFRIQUE - BELMONT AERODROME,-,-,FRANCE,,,-,L
LFIG,-,-,CASSAGNES-BÉGONHÈS,CASSAGNES-BÉGONHÈS AIRPORT,-,-,FRANCE,,,-,L
LFIH,-,-,CHALAIS,CHALAIS AIRPORT,-,-,FRANCE,,,-,L
LFIK,-,-,RIBÉRAC,RIBÉRAC - SAINT-AULAYE AERODROME,-,-,FRANCE,,,-,L
LFIL,-,-,RION-DES-LANDES,RION-DES-LANDES AERODROME,-,-,FRANCE,,,-,L
LFIM,-,-,SAINT-GAUDENS,SAINT-GAUDENS - MONTRÉJEAU AIRPORT,-,-,FRANCE,,,-,L
LFIP,-,-,COL DE PEYRESOURDE,PEYRESOURDE - BALESTAS ALTIPORT,-,-,FRANCE,ALTIPORT,PUBLIC,-,L
LFIR,-,-,REVEL,REVEL - MONTGEY AERODROME,-,-,FRANCE,,,-,L
LFIV,-,-,VENDAYS-MONTALIVET,VENDAYS-MONTALIVET AERODROME,-,-,FRANCE,,,-,L
LFIX,-,-,ITXASSOU,ITXASSOU AERODROME,-,-,FRANCE,,,-,L
LFIY,-,-,SAINT-JEAN-D'ANGÉLY,SAINT-JEAN-D'ANGÉLY - SAINT-DENIS-DU-PIN AERODROME,-,-,FRANCE,,,-,L
LFJA,XCW,-,CHAUMONT,QUARTIER GÉNÉRAL D'ABOVILLE,-,-,FRANCE,,,-,L
LFJB,-,-,MAULÉON,MAULÉON AIRPORT,-,-,FRANCE,,,-,L
LFJC,-,-,CLAMECY,CLAMECY AIRPORT,-,-,FRANCE,,,-,L
LFJD,-,-,CORLIER,CORLIER AERODROME,AÉRODROME DE CORLIER,-,FRANCE,ALTIPORT,PUBLIC,-,L
LFJE,-,-,LA MOTTE-CHALANCON,LA MOTTE-CHALANCON AERODROME,-,-,FRANCE,ALTIPORT,PUBLIC,-,L
LFJF,-,-,AUBENASSON,AUBENASSON AERODROME,-,-,FRANCE,,,-,L
LFJH,-,-,CAZÈRES,CAZÈRES - PALAMINY AERODROME,-,-,FRANCE,,,-,L
LFJI,-,-,MARENNES,MARENNES AERODROME,-,-,FRANCE,,,-,L
LFJL,ETZ,-,GOIN,METZ–NANCY–LORRAINE AIRPORT,-,-,FRANCE,,,-,L
LFJR,ANE,-,MARCÉ,ANGERS – LOIRE AIRPORT,-,-,FRANCE,,,-,L
LFJS,XSS,-,SOISSONS,SOISSONS - COURMELLES AIRPORT,-,-,FRANCE,,,-,L
LFJT,-,-,LE LOUROUX,TOURS - LE LOUROUX AERODROME,-,-,FRANCE,,,-,L
LFJU,-,-,LURCY-LÉVIS,LURCY-LÉVIS AERODROME,-,-,FRANCE,,,-,L
LFKA,XAV,-,ALBERTVILLE,ALBERTVILLE AERODROME,-,-,FRANCE,,,-,L
LFKB,BIA,-,BASTIA,BASTIA – PORETTA AIRPORT,-,-,FRANCE,,,-,L
LFKC,CLY,-,CALVI,CALVI – SAINTE-CATHERINE AIRPORT,-,-,FRANCE,,,-,L
LFKD,-,-,SOLLIÈRES-SARDIÈRES,SOLLIÈRES-SARDIÈRES AERODROME,-,-,FRANCE,,,-,L
LFKE,-,-,SAINT-JEAN-EN-ROYANS,SAINT-JEAN-EN-ROYANS AERODROME,-,-,FRANCE,,,-,L
LFKF,FSC,-,FIGARI CORSE-DU-SUD,FIGARI–SUD CORSE AIRPORT,-,-,FRANCE,,,-,L
LFKG,-,-,GHISONACCIA,GHISONACCIA ALZITONE AIRPORT,-,-,FRANCE,,,-,L
LFKH,-,-,SAINT-JEAN-D'AVELANNE,SAINT-JEAN-D'AVELANNE AERODROME,-,-,FRANCE,,,-,L
LFKJ,AJA,-,AJACCIO,AJACCIO NAPOLEON BONAPARTE AIRPORT,-,-,FRANCE,,,-,L
LFKL,-,-,LYON,LYON - BRINDAS AERODROME,-,-,FRANCE,,,-,L
LFKM,-,-,SAINT-GALMIER,SAINT-GALMIER AERODROME,-,-,FRANCE,,,-,L
LFKO,PRP,-,PROPRIANO,PROPRIANO AIRPORT,-,-,FRANCE,,,-,L
LFKP,-,-,LA TOUR-DU-PIN,LA TOUR-DU-PIN - CESSIEU AERODROME,-,-,FRANCE,,,-,L
LFKR,-,-,SAINT-RÉMY-DE-MAURIENNE,SAINT-RÉMY-DE-MAURIENNE AERODROME,-,-,FRANCE,,,-,L
LFKS,SOZ,-,VENTISERI,SOLENZARA AIR BASE,-,-,FRANCE,,,-,L
LFKT,-,-,CORTE,CORTE AIRPORT,-,-,FRANCE,,,-,L
LFKX,MFX,-,LES ALLUES,MÉRIBEL ALTIPORT,ALTIPORT DE MÉRIBEL,-,FRANCE,ALTIPORT,PUBLIC,-,L
LFKY,-,-,BELLEY,BELLEY - PEYRIEU AERODROME,-,-,FRANCE,,,-,L
LFKZ,XTC,-,SAINT-CLAUDE,SAINT-CLAUDE - PRATZ AERODROME,-,-,FRANCE,,,-,L
LFLA,AUF,-,AUXERRE,AUXERRE – BRANCHES AERODROME,-,-,FRANCE,,,-,L
LFLB,CMF,-,CHAMBÉRY,CHAMBÉRY AIRPORT,-,-,FRANCE,,,-,L
LFLC,CFE,-,AULNAT,CLERMONT-FERRAND AUVERGNE AIRPORT,-,-,FRANCE,,,-,L
LFLD,BOU,-,BOURGES,BOURGES AIRPORT,-,-,FRANCE,,,-,L
LFLE,-,-,CHALLES-LES-EAUX,CHAMBÉRY AERODROME,-,-,FRANCE,,,-,L
LFLG,-,-,LE VERSOUD,GRENOBLE – LE VERSOUD AERODROME,-,-,FRANCE,,,-,L
LFLH,XCD,-,CHAMPFORGEUIL,CHALON – CHAMPFORGEUIL AIRPORT,-,-,FRANCE,,,-,L
LFLI,QNJ,-,ANNEMASSE,ANNEMASSE AERODROME,-,-,FRANCE,,,-,L
LFLJ,CVF,-,COURCHEVEL,COURCHEVEL ALTIPORT,ALTIPORT DE COURCHEVEL,-,FRANCE,ALTIPORT,PUBLIC,-,L
LFLK,-,-,OYONNAX,OYONNAX - ARBENT AERODROME,-,-,FRANCE,,,-,L
LFLL,LYS,-,COLOMBIER-SAUGNIEU,LYON–SAINT-EXUPÉRY AIRPORT,-,-,FRANCE,,,-,L
LFLM,QNX,-,MÂCON,MÂCON - CHARNAY AIRPORT,-,-,FRANCE,,,-,L
LFLN,SYT,-,SAINT-YAN,SAINT-YAN AIRPORT,-,-,FRANCE,,,-,L
LFLO,RNE,-,ROANNE,ROANNE RENAISON AIRPORT,-,-,FRANCE,,,-,L
LFLP,NCY,-,ANNECY,ANNECY – HAUTE-SAVOIE – MONT BLANC AIRPORT,-,-,FRANCE,,,-,L
LFLQ,XMK,-,MONTÉLIMAR,MONTÉLIMAR - ANCÔNE AIRPORT,-,-,FRANCE,,,-,L
LFLR,-,-,SAINT-RAMBERT-D'ALBON,SAINT-RAMBERT-D'ALBON AIRPORT,-,-,FRANCE,,,-,L
LFLS,GNB,-,SAINT-ÉTIENNE-DE-SAINT-GEOIRS,ALPES–ISÈRE AIRPORT,-,-,FRANCE,,,-,L
LFLT,-,-,MONTLUÇON,MONTLUÇON - DOMÉRAT AERODROME,-,-,FRANCE,,,-,L
LFLU,VAF,-,VALENCE,VALENCE-CHABEUIL AIRPORT,-,-,FRANCE,,,-,L
LFLV,VHY,-,CHARMEIL,VICHY — CHARMEIL AIRPORT,-,-,FRANCE,,,-,L
LFLW,AUR,-,AURILLAC,AURILLAC – TRONQUIÈRES AIRPORT,-,-,FRANCE,,,-,L
LFLX,CHR,-,DÉOLS,"CHÂTEAUROUX-CENTRE ""MARCEL DASSAULT"" AIRPORT",-,-,FRANCE,,,-,L
LFLY,LYN,-,BRON,LYON–BRON AIRPORT,-,-,FRANCE,,,-,L
LFLZ,-,-,FEURS,FEURS - CHAMBÉON AIRPORT,-,-,FRANCE,,,-,L
LFMA,QXB,-,LES MILLES,AIX-EN-PROVENCE AERODROME,-,-,FRANCE,,,-,L
LFMC,-,-,LE CANNET-DE-MAURES,LE LUC – LE CANNET AIRPORT,-,-,FRANCE,,,-,L
LFMD,CEQ,-,CANNES,CANNES – MANDELIEU AIRPORT,-,-,FRANCE,,,-,L
LFME,-,-,NÎMES,NÎMES - COURBESSAC AIRPORT,-,-,FRANCE,,,-,L
LFMF,-,-,FAYENCE,FAYENCE-TOURRETTES AIRFIELD,-,-,FRANCE,,,-,L
LFMG,-,-,MONTAGNE NOIRE,MONTAGNE NOIRE AERODROME,-,-,FRANCE,,,-,L
LFMH,EBU,-,ANDRÉZIEUX-BOUTHÉON,SAINT-ÉTIENNE–BOUTHÉON AIRPORT,-,-,FRANCE,,,-,L
LFMI,IFR,-,ISTRES,ISTRES-LE TUBÉ AIR BASE,-,-,FRANCE,,,-,L
LFMK,CCF,-,CARCASSONNE,CARCASSONNE AIRPORT,-,-,FRANCE,,,-,L
LFML,MRS,-,MARIGNANE,MARSEILLE PROVENCE AIRPORT,-,-,FRANCE,,,-,L
LFMN,NCE,-,NICE,NICE CÔTE D'AZUR AIRPORT,-,-,FRANCE,,,-,L
LFMO,XOG,-,VAUCLUSE,ORANGE-CARITAT AIR BASE,-,-,FRANCE,,,-,L
LFMP,PGF,-,PERPIGNAN,PERPIGNAN–RIVESALTES AIRPORT,-,-,FRANCE,,,-,L
LFMQ,CTT,-,LE CASTELLET,LE CASTELLET AIRPORT,-,-,FRANCE,,,-,L
LFMR,BAE,-,SAINT-PONS,BARCELONNETTE – SAINT-PONS AIRFIELD,-,-,FRANCE,,,-,L
LFMS,-,-,ALÈS,ALÈS - DEAUX AIRPORT,-,-,FRANCE,,,-,L
LFMT,MPL,-,MAUGUIO,MONTPELLIER–MÉDITERRANÉE AIRPORT,-,-,FRANCE,,,-,L
LFMU,BZR,-,VIAS,BÉZIERS CAP D'AGDE AIRPORT,-,-,FRANCE,,,-,L
LFMV,AVN,-,AVIGNON,AVIGNON – PROVENCE AIRPORT,-,-,FRANCE,,,-,L
LFMW,-,-,VILLENEUVE-LA-COMPTAL,CASTELNAUDARY – VILLENEUVE AIRPORT,-,-,FRANCE,,,-,L
LFMX,-,-,CHÂTEAU-ARNOUX-SAINT-AUBAN,CHÂTEAU-ARNOUX-SAINT-AUBAN AIRPORT,-,-,FRANCE,,,-,L
LFMY,-,-,SALON-DE-PROVENCE,SALON-DE-PROVENCE AIR BASE,-,-,FRANCE,,,-,L
LFMZ,-,-,LÉZIGNAN-CORBIÈRES,LÉZIGNAN-CORBIÈRES AIRPORT,-,-,FRANCE,,,-,L
LFNA,GAT,-,TALLARD,GAP–TALLARD AIRPORT,-,-,FRANCE,,,-,L
LFNB,MEN,-,MENDE,MENDE - BRENOUX AIRPORT,-,-,FRANCE,,,-,L
LFNC,SCP,-,MONT-DAUPHIN,MONT-DAUPHIN - SAINT-CRÉPIN AIRPORT,-,-,FRANCE,,,-,L
LFND,-,-,PONT-SAINT-ESPRIT,PONT-SAINT-ESPRIT AIRPORT,-,-,FRANCE,,,-,L
LFNE,-,-,EYGUIÈRES,SALON - EYGUIÈRES AIRPORT,-,-,FRANCE,,,-,L
LFNF,-,-,VINON-SUR-VERDON,VINON AIRPORT,-,-,FRANCE,,,-,L
LFNG,-,-,MONTPELLIER,MONTPELLIER - CANDILLARGUES AIRPORT,-,-,FRANCE,,,-,L
LFNH,-,-,CARPENTRAS,CARPENTRAS AIRPORT,-,-,FRANCE,,,-,L
LFNJ,-,-,ASPRES-SUR-BUËCH,ASPRES-SUR-BUËCH AERODROME,-,-,FRANCE,,,-,L
LFNL,-,-,SAINT-MARTIN-DE-LONDRES,SAINT-MARTIN-DE-LONDRES AERODROME,-,-,FRANCE,,,-,L
LFNO,-,-,FLORAC,FLORAC - SAINTE-ENIMIE AERODROME,-,-,FRANCE,,,-,L
LFNP,-,-,PÉZENAS,PÉZENAS - NIZAS AERODROME,-,-,FRANCE,,,-,L
LFNQ,QZE,-,MONT-LOUIS,MONT-LOUIS - LA QUILLANE AERODROME,-,-,FRANCE,,,-,L
LFNR,-,-,BERRE-L'ÉTANG,BERRE - LA FARE AERODROME,-,-,FRANCE,,,-,L
LFNS,-,-,SISTERON,SISTERON - THÈZE AERODROME,-,-,FRANCE,,,-,L
LFNT,-,-,PUJAUT,AVIGNON - PUJAUT AERODROME,-,-,FRANCE,,,-,L
LFNU,-,-,UZÈS,UZÈS AERODROME,-,-,FRANCE,,,-,L
LFNV,-,-,VALRÉAS,VALRÉAS - VISAN AIRPORT,-,-,FRANCE,,,-,L
LFNW,-,-,PUIVERT,PUIVERT AERODROME,-,-,FRANCE,,,-,L
LFNX,-,-,BÉDARIEUX,BÉDARIEUX - LA TOUR-SUR-ORB AERODROME,-,-,FRANCE,,,-,L
LFNZ,-,-,LE MAZET-DE-ROMANIN,LE MAZET-DE-ROMANIN AERODROME,-,-,FRANCE,,,-,L
LFOA,-,-,AVORD,AVORD AIR BASE ,-,-,FRANCE,,,-,L
LFOB,BVA,-,BEAUVAIS,BEAUVAIS–TILLÉ AIRPORT,-,-,FRANCE,,,-,L
LFOC,-,-,CHÂTEAUDUN,CHÂTEAUDUN AIRPORT,-,-,FRANCE,,,-,L
LFOD,XSU,-,SAUMUR,SAUMUR - SAINT-HILAIRE - SAINT-FLORENT AERODROME,-,-,FRANCE,,,-,L
LFOE,EVX,-,ÉVREUX,ÉVREUX-FAUVILLE AIR BASE,-,-,FRANCE,,,-,L
LFOF,XAN,-,ALENÇON,ALENÇON - VALFRAMBERT AERODROME,-,-,FRANCE,,,-,L
LFOG,-,-,FLERS,FLERS - SAINT-PAUL AERODROME,-,-,FRANCE,,,-,L
LFOH,LEH,-,OCTEVILLE-SUR-MER,LE HAVRE – OCTEVILLE AIRPORT,-,-,FRANCE,,,-,L
LFOI,XAB,-,ABBEVILLE,AERODROME ABBEVILLE,-,-,FRANCE,,,-,L
LFOJ,-,-,ORLÉANS,ORLÉANS – BRICY AIR BASE,-,-,FRANCE,,,-,L
LFOK,XCR,-,VATRY,CHÂLONS VATRY AIRPORT,-,-,FRANCE,,,-,L
LFOL,-,-,L'AIGLE,L'AIGLE - SAINT-MICHEL AIRPORT,-,-,FRANCE,,,-,L
LFOM,-,-,LESSAY,LESSAY AIRPORT,-,-,FRANCE,,,-,L
LFON,-,-,VERNOUILLET,VERNOUILLET AIRPORT,-,-,FRANCE,,,-,L
LFOO,LSO,-,LES SABLES-D'OLONNE,LES SABLES-D'OLONNE - TALMONT AIRPORT,-,-,FRANCE,,,-,L
LFOP,URO,-,BOOS,ROUEN AIRPORT,-,-,FRANCE,,,-,L
LFOQ,XBQ,-,BLOIS,BLOIS - LE BREUIL AIRPORT,-,-,FRANCE,,,-,L
LFOR,QTJ,-,CHARTRES,CHARTRES – CHAMPHOL AERODROME,-,-,FRANCE,,,-,L
LFOS,-,-,SAINT-VALERY-EN-CAUX,SAINT-VALERY - VITTEFLEUR AIRPORT,-,-,FRANCE,,,-,L
LFOT,TUF,-,TOURS,TOURS VAL DE LOIRE AIRPORT,-,-,FRANCE,,,-,L
LFOU,CET,-,CHOLET,CHOLET - LE PONTREAU AERODROME,-,-,FRANCE,,,-,L
LFOV,LVA,-,LAVAL,LAVAL - ENTRAMMES AIRPORT,-,-,FRANCE,,,-,L
LFOW,-,-,SAINT-QUENTIN,SAINT-QUENTIN - ROUPY AIRPORT,-,-,FRANCE,,,-,L
LFOX,-,-,ÉTAMPES,ÉTAMPES - MONDÉSIR AERODROME,-,-,FRANCE,,,-,L
LFOY,-,-,LE HAVRE,LE HAVRE - SAINT-ROMAIN AIRPORT,-,-,FRANCE,,,-,L
